新冠肺炎 新型冠状病毒肺炎
光伏 太阳能电池
合胞病毒肺炎 呼吸道合胞病毒
合胞病毒肺炎 呼吸道合胞病毒
 黄道十二宫
中国 中华人民共和国
中国 中华人民共和国
南大 南京大学
东宝 东宝株式会社
古今集 古今和歌集
KFC 肯德基
bAfterSchoolBoys Pledis Entertainment
